Vendor,DeviceID,DriverHi,DriverLo,NTDriverHi,NTDriverLo,CardName,Generic Name,Compatibility Flags.
0x1048, 0x8901, 0x00000000, 0x00000000, 0x00000000, 0x00000000,3DLabs,GLiNT,None
0x3d3d, 0x0009, 0x00000000, 0x00000000, 0x00000000, 0x00000000,3DLabs,Permedia 2,DisableColorControl
0x3d3d, 0x000a, 0x00000000, 0x00000000, 0x00000000, 0x00000000,3DLabs,Permedia 3,None

0x1013, 0x0038, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD7548,None
0x1013, 0x00a0, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5430,None
0x1013, 0x00a8, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5434,None
0x1013, 0x00ac, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5436,None
0x1013, 0x00b8, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5446,None
0x1013, 0x00bc, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5480,None
0x1013, 0x00d4, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5464,None
0x1013, 0x00d6, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5465,None
0x1013, 0x0301, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD5446,None
0x1013, 0x1202, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Cirrus,GD7543,None


0x105d, 0x2309, 0x00000000, 0x00000000, 0x00000000, 0x00000000,#9,Imagine 128,None
0x105d, 0x2339, 0x00000000, 0x00000000, 0x00000000, 0x00000000,#9,Imagine 128 II,None
0x105d, 0x493d, 0x00000000, 0x00000000, 0x00000000, 0x00000000,#9,Revolution 3D,None
0x105d, 0x5348, 0x00000000, 0x00000000, 0x00000000, 0x00000000,#9,Revolution IV,LowEndCard

0x102c, 0x0024, 0x00000000, 0x00000000, 0x00000000, 0x00000000,C&T,65554,None
0x102c, 0x00e5, 0x00000000, 0x00000000, 0x00000000, 0x00000000,C&T,65555,None
0x102c, 0x00f4, 0x00000000, 0x00000000, 0x00000000, 0x00000000,C&T,65554,None
0x102c, 0x00c0, 0x00000000, 0x00000000, 0x00000000, 0x00000000,C&T,69000,None
0x102c, 0x00e0, 0x00000000, 0x00000000, 0x00000000, 0x00000000,C&T,65550,None
0x102c, 0x00e4, 0x00000000, 0x00000000, 0x00000000, 0x00000000,C&T,65554,None
0x102c, 0x00e5, 0x00000000, 0x00000000, 0x00000000, 0x00000000,C&T,65555,None

0x1163, 0x0001, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Rendition,Verite 1000,None
0x1163, 0x2000, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Rendition,Verite 2100,None

0x110b, 0x0004, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Chromatic,MPact,Bad4444 + BadAGP

0x100e, 0x9001, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Weitek,P9000,None
0x100e, 0x9100, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Weitek,P9100,None


0x0e11, 0x3032, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Compaq,QVision,None

0x1039, 0x0204, 0x00000000, 0x00000000, 0x00000000, 0x00000000,SIS,6215,None
0x1039, 0x0205, 0x00000000, 0x00000000, 0x00000000, 0x00000000,SIS,6205,None
0x1039, 0x6300, 0x00000000, 0x00000000, 0x00000000, 0x00000000,SIS,630,TextureOffset
0x1039, 0x6326, 0x00000000, 0x00000000, 0x00000000, 0x00000000,SIS,6326,None
0x1039, 0x6306, 0x00000000, 0x00000000, 0x00000000, 0x00000000,SIS,6306,TextureOffset

0x1011, 0x0004, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Digital,TGA,None
0x1011, 0x000d, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Digital,TGA2,None

0x10c8, 0x0001, 0x00000000, 0x00000000, 0x00000000, 0x00000000,NeoMagic,128,None
0x10c8, 0x0002, 0x00000000, 0x00000000, 0x00000000, 0x00000000,NeoMagic,128,None
0x10c8, 0x0003, 0x00000000, 0x00000000, 0x00000000, 0x00000000,NeoMagic,128ZV,None
0x10c8, 0x0004, 0x00000000, 0x00000000, 0x00000000, 0x00000000,NeoMagic,128XD,None
0x10c8, 0x0005, 0x00000000, 0x00000000, 0x00000000, 0x00000000,NeoMagic,256AV,None
0x10c8, 0x0016, 0x00000000, 0x00000000, 0x00000000, 0x00000000,NeoMagic,256XL+,NoMipMap + DisableTextureDeletes + ForceSquareTextures + LimitTextureSize
0x10c8, 0x0083, 0x00000000, 0x00000000, 0x00000000, 0x00000000,NeoMagic,128ZV+,None

0x100c, 0x3202, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Tseng Labs,ET4000,None
0x100c, 0x3208, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Tseng Labs,ET6000,None

0x5333, 0x5631, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge,None
0x5333, 0x8811, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Trio64VX,None
0x5333, 0x8812, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Trio64VX,None
0x5333, 0x883d, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge VX,None
0x5333, 0x8880, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge,None
0x5333, 0x88c0, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge,None
0x5333, 0x88c1, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge,None
0x5333, 0x88d0, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge,None
0x5333, 0x88d1, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge,None
0x5333, 0x88f0, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge,None
